Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Returns
2018-01-02,1053.02001953125,1075.97998046875,1053.02001953125,1073.2099609375,1073.2099609375,1588300,0,0,
2018-01-03,1073.9300537109375,1096.0999755859375,1073.4300537109375,1091.52001953125,1091.52001953125,1565900,0,0,0.01706102185051961
2018-01-04,1097.0899658203125,1104.0799560546875,1094.260009765625,1095.760009765625,1095.760009765625,1302600,0,0,0.003884482335189565
2018-01-05,1103.449951171875,1113.5799560546875,1101.800048828125,1110.2900390625,1110.2900390625,1512500,0,0,0.013260229582555016
2018-01-08,1111.0,1119.1600341796875,1110.0,1114.2099609375,1114.2099609375,1232200,0,0,0.0035305386314281595
2018-01-09,1118.43994140625,1118.43994140625,1108.199951171875,1112.7900390625,1112.7900390625,1340400,0,0,-0.0012743754990354184
2018-01-10,1107.0,1112.780029296875,1103.97998046875,1110.1400146484375,1110.1400146484375,1036700,0,0,-0.002381423557938245
2018-01-11,1112.31005859375,1114.8499755859375,1106.47998046875,1112.050048828125,1112.050048828125,1121200,0,0,0.0017205344861768168
2018-01-12,1110.0999755859375,1131.300048828125,1108.010009765625,1130.6500244140625,1130.6500244140625,1929300,0,0,0.016725843954179975
2018-01-16,1140.31005859375,1148.8800048828125,1126.6600341796875,1130.699951171875,1130.699951171875,1823100,0,0,4.41575701892738e-05
2018-01-17,1136.3599853515625,1139.3199462890625,1123.489990234375,1139.0999755859375,1139.0999755859375,1391500,0,0,0.007429048179719677
2018-01-18,1139.3499755859375,1140.5899658203125,1124.4599609375,1135.969970703125,1135.969970703125,1374900,0,0,-0.0027477876831684123
2018-01-19,1138.030029296875,1143.780029296875,1132.5,1143.5,1143.5,1527600,0,0,0.006628722141496457
2018-01-22,1143.8199462890625,1166.8800048828125,1141.8199462890625,1164.1600341796875,1164.1600341796875,1477500,0,0,0.0180673670132816
2018-01-23,1170.6199951171875,1178.510009765625,1167.25,1176.1700439453125,1176.1700439453125,1956900,0,0,0.010316459432562208
2018-01-24,1184.97998046875,1187.050048828125,1167.4000244140625,1171.2900390625,1171.2900390625,1856400,0,0,-0.00414906408128124
2018-01-25,1180.7099609375,1185.0,1171.8399658203125,1182.1400146484375,1182.1400146484375,1499200,0,0,0.009263269748816194
2018-01-26,1187.530029296875,1187.56005859375,1168.030029296875,1187.56005859375,1187.56005859375,2108500,0,0,0.00458494245871921
2018-01-29,1188.0,1198.0,1184.06005859375,1186.47998046875,1186.47998046875,1574700,0,0,-0.0009094934754533268
2018-01-30,1177.719970703125,1187.9300537109375,1174.510009765625,1177.3699951171875,1177.3699951171875,1866900,0,0,-0.0076781618750645375
2018-01-31,1183.81005859375,1186.3199462890625,1172.0999755859375,1182.219970703125,1182.219970703125,1801100,0,0,0.004119330037330116
2018-02-01,1175.989990234375,1187.449951171875,1169.3599853515625,1181.5899658203125,1181.5899658203125,3675700,0,0,-0.0005328998819380537
2018-02-02,1127.4200439453125,1131.300048828125,1111.1700439453125,1119.199951171875,1119.199951171875,5892100,0,0,-0.052801747182343095
2018-02-05,1100.6099853515625,1114.989990234375,1056.739990234375,1062.3900146484375,1062.3900146484375,4177500,0,0,-0.050759416549253644
2018-02-06,1033.97998046875,1087.3800048828125,1030.010009765625,1084.4300537109375,1084.4300537109375,3831500,0,0,0.02074571368198841
2018-02-07,1084.969970703125,1086.530029296875,1054.6199951171875,1055.4100341796875,1055.4100341796875,2597100,0,0,-0.026760619029270738
2018-02-08,1059.8699951171875,1063.9300537109375,1004.7000122070312,1007.7100219726562,1007.7100219726562,3339600,0,0,-0.04519571603666428
2018-02-09,1025.8800048828125,1051.719970703125,997.0,1046.27001953125,1046.27001953125,4918000,0,0,0.038264973770043564
2018-02-12,1056.6700439453125,1065.5699462890625,1045.489990234375,1054.56005859375,1054.56005859375,2812000,0,0,0.007923422164207716
2018-02-13,1050.0,1061.219970703125,1046.9200439453125,1054.1400146484375,1054.1400146484375,1579300,0,0,-0.00039831201825779594
2018-02-14,1054.3199462890625,1075.469970703125,1049.800048828125,1072.699951171875,1072.699951171875,2065200,0,0,0.01760670903819861
2018-02-15,1083.449951171875,1094.0999755859375,1067.22998046875,1091.3599853515625,1091.3599853515625,1869800,0,0,0.017395390164138824
2018-02-16,1093.3800048828125,1108.31005859375,1091.550048828125,1095.5,1095.5,1997400,0,0,0.0037934455211896534
2018-02-20,1092.760009765625,1116.2900390625,1090.0,1103.5899658203125,1103.5899658203125,1687700,0,0,0.007384724619180716
2018-02-21,1109.0999755859375,1136.199951171875,1107.510009765625,1113.75,1113.75,2074300,0,0,0.009206348820085086
2018-02-22,1119.1700439453125,1125.4599609375,1105.1500244140625,1109.9000244140625,1109.9000244140625,1400500,0,0,-0.003456768202862004
2018-02-23,1118.6600341796875,1129.0,1108.43994140625,1128.0899658203125,1128.0899658203125,1264600,0,0,0.016388810709192292
2018-02-26,1131.8599853515625,1144.199951171875,1129.3399658203125,1143.699951171875,1143.699951171875,1545600,0,0,0.013837535856647154
2018-02-27,1143.699951171875,1144.25,1116.7900390625,1117.510009765625,1117.510009765625,2148200,0,0,-0.02289931146662627
2018-02-28,1122.0,1127.6500244140625,1103.0,1103.9200439453125,1103.9200439453125,2464600,0,0,-0.012160934310702753
2018-03-01,1109.5400390625,1111.27001953125,1067.2900390625,1071.4100341796875,1071.4100341796875,2766900,0,0,-0.029449605470915352
2018-03-02,1057.97998046875,1086.8900146484375,1050.1099853515625,1084.1400146484375,1084.1400146484375,2508100,0,0,0.011881520671492174
